Initial
1961-1-1

Spa	171.985
Dgw	17.0382
Alf	0.00269484
Dgm	150.758
Soc	0.231087
Wic	0.672371
Mec	0.455453
Grd	0.976572

OK	nan

P	R	RM	BF	B	I	DR	PET	ET	SW	SS	GS	INF	PERC	RC	T	H	WEI
111.623	75.7977	46.0657	3.09866	NA	9.38989	33.5772	37.4128	37.4128	171.985	0	31.3179	78.0463	40.6335	31.2436	4.62114	NA	1
133.157	72.9118	81.2985	30.5842	NA	2.93268	47.7816	72.6845	72.6845	171.985	0	10.4918	85.3753	12.6908	9.75809	9.88522	NA	1
107.36	42.9559	41.3072	10.246	NA	0	31.0612	93.8295	92.9657	155.318	0	0.245797	76.2988	0	0	13.4506	NA	1
120.213	38.3798	35.4096	0.240039	NA	0	35.1696	107.467	104.029	136.332	0	0.00575844	85.0433	0	0	16.3244	NA	1
98.706	51.7341	20.8183	0.00562353	NA	0	20.8127	78.9065	78.6941	135.532	0	0.000134906	77.8933	0	0	13.4146	NA	1
112.758	38.6062	28.7342	0.000131746	NA	1.7334	27.0007	41.8022	41.8022	171.985	0	5.76766	85.7569	7.50106	5.76766	8.46844	NA	1
33.5766	30.7531	11.3368	5.63254	NA	2.66616	3.03813	19.001	19.001	171.985	0	9.00641	30.5384	11.5374	8.87128	4.03789	NA	1
102.425	28.2141	52.3809	8.79541	NA	15.3141	28.2714	7.88388	7.88388	171.985	0	51.1668	74.1538	66.2699	50.9558	1.29298	NA	1
7.62034	31.3583	53.4293	49.9681	NA	3.46122	0	2.47256	2.47256	171.985	0	2.88528	5.14778	5.14778	1.68656	-2.44704	NA	1
39.8276	19.7558	28.1169	2.81768	NA	25.2992	0	2.20068	2.20068	171.985	0	12.3953	37.6269	37.6269	12.3277	-3.10488	NA	1
114.624	19.3326	78.0474	12.1049	NA	65.9425	0	4.54733	4.54733	171.985	12.0018	32.4225	98.0746	98.0746	32.1321	-2.24384	NA	1
41.6938	50.13	48.607	31.6629	NA	16.944	0	16.493	16.493	171.985	0	21.0182	37.2026	37.2026	20.2586	0.776435	NA	1
